Topic,Phrase_FR,Phrase_EN
HR_COMPLAINT,Je demande une plainte vis-à-vis de l'équipe.,I request a complaint regarding the team.
CYBER,Le phishing intercepté(e) compromission du compte.,Phishing intercepted account compromise.
CYBER,L'antivirus intercepté(e) sur la DMZ.,The antivirus intercepted on the DMZ.
ACCOUNTING,L'actif immobilisé est incorrecte sur l'exercice N-1.,Fixed assets is incorrect on year N-1.
TECH,L'argument ne compile pas sur la branche dev.,The argument does not compile on dev branch.
INFRA,Le serveur fait du bruit ping élevé.,The server makes noise high ping.
GOSSIP,Il est bizarre je le supporte pas.,He is weird I can't stand him.
ACCOUNTING,La provision pose problème d'un point de vue comptable.,The provision is problematic from an accounting perspective.
CYBER,Attaque DDoS sur le port 22 par le WAF.,DDoS Attack on port 22 by the WAF.
HR_HIRING,La prime inclut des actions hors avantages en nature.,The bonus includes shares excluding benefits.
CYBER,Injection SQL intercepté(e) exfiltration de données.,SQL Injection intercepted data exfiltration.
CYBER,Payload malveillant mis en quarantaine exfiltration de données.,Malicious payload quarantined data exfiltration.
TECH,L'argument n'est pas typé(e) dans la librairie.,The argument is not typed in the library.
GOSSIP,Mon collègue se la raconte franchement.,My colleague shows off honestly.
HR_COMPLAINT,Je demande doit cesser depuis des mois.,I request must stop for months.
BANKING,Refuse le virement SEPA sur le compte joint.,Decline the SEPA transfer on the joint account.
BUSINESS,Le pipeline est gagné(e) sur le marché US.,The pipeline is won on the US market.
HR_COMPLAINT,L'ambiance une rupture conventionnelle vis-à-vis de l'équipe.,The atmosphere a mutual termination regarding the team.
HR_COMPLAINT,La pression une plainte au travail.,The pressure a complaint at work.
INFRA,Le cluster est hors ligne coupure de courant.,The cluster is offline power cut.
TECH,Le framework est déprécié(e) au runtime.,The framework is deprecated at runtime.
GOSSIP,Le chef est incompétent franchement.,The boss is incompetent honestly.
CYBER,Le scan de vulnérabilité contourne la sécurité brute force.,Vulnerability scan bypasses security brute force.
ACCOUNTING,La note de frais n'est pas lettré(e) avant l'audit.,The expense report is not reconciled before the audit.
TECH,Le compilateur provoque un segfault erreur de syntaxe.,The compiler causes a segfault syntax error.
GOSSIP,Mon collègue est un fumiste c'est une blague.,My colleague is a slacker it's a joke.
GOSSIP,Ce manager a eu le poste par piston je le supporte pas.,This manager got the job by nepotism I can't stand him.
BUSINESS,La marge commerciale est bloqué(e) au juridique pour atteindre les objectifs.,Commercial margin is stuck at legal to reach targets.
BUSINESS,Le contrat se termine demain sur le marché US.,The contract ends tomorrow on the US market.
TECH,La boucle while est undefined problème de dépendance.,The while loop is undefined dependency issue.
BANKING,Oppose le débit car je n'ai pas fait cet achat.,Stop the debit cause I didn't make this purchase.
GOSSIP,La directrice est incompétent franchement.,The director is incompetent honestly.
TECH,Le script Python est en lecture seule fuite de mémoire.,The Python script is read-only memory leak.
ACCOUNTING,Le passif circulant ne s'équilibre pas au passif du bilan.,Current liabilities does not balance on the liability side.
BANKING,Débloque le virement pour suspicion.,Unblock the transfer for suspicion.
BANKING,Refuse ma carte c'est une fraude.,Decline my card it is a fraud.
BUSINESS,Le closing se termine demain face à la concurrence.,The closing ends tomorrow against competition.
HR_HIRING,La voiture de fonction est négociable pour ce poste senior.,Company car is negotiable for this senior position.
BANKING,Oppose le virement tout de suite.,Stop the transfer immediately.
CYBER,Signature virale chiffre les données depuis une IP suspecte.,Viral signature encrypts data from suspicious IP.
INFRA,La bande passante sature alerte monitoring.,Bandwidth is maxing out monitoring alert.
BANKING,Oppose le virement SEPA car je n'ai pas fait cet achat.,Stop the SEPA transfer cause I didn't make this purchase.
GOSSIP,Ce type est bête c'est une blague.,This guy is stupid it's a joke.
BUSINESS,Le deal est envoyé(e) sur le marché US.,The deal is sent on the US market.
HR_HIRING,La prime est au-dessus du marché avec une prime à la signature.,The bonus is above market with a signing bonus.
BUSINESS,La propale est perdu(e) avec la clause de sortie.,The proposal is lost with the exit clause.
TECH,L'API REST ne compile pas dans la librairie.,The REST API does not compile in the library.
BANKING,Vérifie le virement SEPA sur le compte joint.,Check the SEPA transfer on the joint account.
GOSSIP,Mon collègue est bête tout le monde le sait.,My colleague is stupid everyone knows it.
HR_HIRING,L'embauche est validé(e) hors avantages en nature.,The hiring is validated excluding benefits.
INFRA,Le disque dur est hors ligne coupure de courant.,The hard drive is offline power cut.
BANKING,Oppose le code PIN sur le compte joint.,Stop the PIN code on the joint account.
HR_COMPLAINT,Je signale une rupture conventionnelle depuis des mois.,I report a mutual termination for months.
ACCOUNTING,Le grand livre montre un écart dans le journal des achats.,The general ledger shows a discrepancy in the purchase journal.
BANKING,Autorise le plafond code erroné.,Authorize the limit wrong code.
TECH,Le fichier JSON est en lecture seule au runtime.,The JSON file is read-only at runtime.
HR_HIRING,La mutuelle est compétitif pour ce poste senior.,Health insurance is competitive for this senior position.
CYBER,L'authentification 2FA en cours exfiltration de données.,2FA authentication in progress data exfiltration.
BUSINESS,La négociation est prioritaire pour valider le budget.,The negotiation is priority to validate budget.
HR_HIRING,La prime est validé(e) hors avantages en nature.,The bonus is validated excluding benefits.
HR_COMPLAINT,Je signale est une faute grave immédiatement.,I report is serious misconduct immediately.
BUSINESS,Le prospect est bloqué(e) au juridique pour augmenter la marge.,The prospect is stuck at legal to increase margin.
ACCOUNTING,La liasse fiscale pose problème selon les normes IFRS.,Tax package is problematic according to IFRS.
ACCOUNTING,La balance âgée montre un écart avant l'audit.,The aging balance shows a discrepancy before the audit.
BUSINESS,Le pipeline doit être relancé(e) avant la deadline.,The pipeline must be followed up before the deadline.
ACCOUNTING,La note de frais n'est pas lettré(e) dans le journal des achats.,The expense report is not reconciled in the purchase journal.
BUSINESS,La négociation est bloqué(e) au juridique avant la deadline.,The negotiation is stuck at legal before the deadline.
CYBER,Certificat SSL contourne la sécurité niveau critique.,SSL Certificate bypasses security critical level.
HR_COMPLAINT,Le management ne respecte pas le droit depuis des mois.,The management does not respect the law for months.
ACCOUNTING,Le passif circulant est fausse d'un point de vue comptable.,Current liabilities is wrong from an accounting perspective.
CYBER,L'accès root signale une alerte brute force.,Root access signals an alert brute force.
GOSSIP,La directrice est un fumiste c'est hallucinant.,The director is a slacker it is mind-blowing.
HR_HIRING,Les tickets resto dépend de l'expérience selon la grille RH.,Meal vouchers depends on experience according to HR grid.
BANKING,Oppose le prélèvement sans contact.,Stop the direct debit contactless.
TECH,L'argument est déprécié(e) au runtime.,The argument is deprecated at runtime.
BANKING,Oppose le débit immédiatement.,Stop the debit right now.
HR_COMPLAINT,Je dépose porte atteinte à ma dignité et je saisis les prud'hommes.,I file affects my dignity and I contact labor court.
CYBER,Le phishing intercepté(e) exfiltration de données.,Phishing intercepted data exfiltration.
ACCOUNTING,Le compte de résultat n'est pas lettré(e) dans les livres légaux.,The income statement is not reconciled in statutory books.
GOSSIP,Il est un lèche-bottes franchement.,He is a bootlicker honestly.
HR_HIRING,La rémunération est compétitif si tu signes demain.,The remuneration is competitive if you sign tomorrow.
GOSSIP,Mon collègue est hypocrite franchement.,My colleague is hypocritical honestly.
TECH,Le fichier JSON ne compile pas à la ligne 42.,The JSON file does not compile at line 42.
HR_HIRING,Les tickets resto est au-dessus du marché hors avantages en nature.,Meal vouchers is above market excluding benefits.
INFRA,La latence réseau sature il faut remplacer la pièce.,Network latency is maxing out part needs replacement.
ACCOUNTING,Le bilan est fausse sur l'exercice N-1.,The balance sheet is wrong on year N-1.
BANKING,Suspends le paiement code erroné.,Suspend the payment wrong code.
BUSINESS,La propale nécessite un rabais avant la deadline.,The proposal needs a discount before the deadline.
HR_COMPLAINT,Je subis me met en danger depuis des mois.,I suffer endangers me for months.
CYBER,Le firewall en cours niveau critique.,The firewall in progress critical level.
TECH,Le pointeur est null à la ligne 42.,The pointer is null at line 42.
HR_HIRING,La mutuelle est compétitif sur 13 mois.,Health insurance is competitive over 13 months.
ACCOUNTING,La balance âgée est à revoir selon les normes IFRS.,The aging balance needs review according to IFRS.
CYBER,L'accès root inconnue détectée par le WAF.,Root access unknown detected by the WAF.
GOSSIP,C'est une est incompétent franchement.,She is a is incompetent honestly.
BUSINESS,Le prospect est perdu(e) pour augmenter la marge.,The prospect is lost to increase margin.
ACCOUNTING,L'avoir client est fausse au passif du bilan.,Customer credit note is wrong on the liability side.
BUSINESS,Le pipeline hésite encore face à la concurrence.,The pipeline is still hesitating against competition.
GOSSIP,La directrice est bête c'est une blague.,The director is stupid it's a joke.
GOSSIP,Ce manager est incompétent c'est hallucinant.,This manager is incompetent it is mind-blowing.
HR_COMPLAINT,Le harcèlement est toxique vis-à-vis de l'équipe.,Harassment is toxic regarding the team.
BUSINESS,Le pipeline est gagné(e) avant la deadline.,The pipeline is won before the deadline.
INFRA,Le processeur CPU surchauffe coupure de courant.,The CPU processor is overheating power cut.
CYBER,Certificat SSL mis en quarantaine compromission du compte.,SSL Certificate quarantined account compromise.
BANKING,Confirme ma carte immédiatement.,Confirm my card right now.
INFRA,Le processeur CPU sature alerte monitoring.,The CPU processor is maxing out monitoring alert.
ACCOUNTING,Le grand livre n'est pas comptabilisé(e) avant l'audit.,The general ledger is not recorded before the audit.
TECH,L'exception est déprécié(e) au runtime.,The exception is deprecated at runtime.
ACCOUNTING,La trésorerie est imputé(e) par erreur selon les normes IFRS.,Cash flow is wrongly allocated according to IFRS.
HR_COMPLAINT,Cette situation une plainte et je saisis les prud'hommes.,This situation a complaint and I contact labor court.
HR_HIRING,L'embauche sera versé(e) hors avantages en nature.,The hiring will be paid excluding benefits.
ACCOUNTING,La note de frais manque de justificatif selon les normes IFRS.,The expense report lacks proof according to IFRS.
